/* Default labels //
55;3,5,10,13,$;JPVerbOther;typeConcept;label for a word that can be a verb stem or something else;0;02-05-2012-mno - changed to typeConcept - 19-jun-2013-mno;
360;5,$;JPVerbOtherU;typeAttribute;VerbOther of Verbs whose Base Form ends with う;0;31-aug-2016-mno;
355;5,$;JPVerbOtherKU;typeAttribute;VerbOther of Verbs whose Base Form ends with く;0;25-jul-2016-mno;
370;5,$;JPVerbOtherSU;typeAttribute;VerbOther of Verbs whose Base Form ends with す;0; - #66-mno;
354;5,$;JPVerbOtherTSU;typeAttribute;VerbOther of Verbs whose whose Base Form ends with つ;0;22-jul-2016-mno;
356;5,$;JPVerbOtherMU;typeAttribute;VerbOther of Verbs whose Base Form ends with む;0;27-jul-2016-mno;
353;5,$;JPVerbOtherRU;typeAttribute;VerbOther of Verbs whose whose Base Form ends with る;0;10-nov-2015-mno;
361;5,$;JPVerbPassive;typeAttribute;Verbs in passiver form;0; - 22-sep-2016-mno;
56;5,7,10,13,$;JPLinkV;typeRelation;label for Linking Verbs such as だ, です, etc.;0;31-jul-2012-mno;
57;5,7,10,13,$;JPVerb;typeRelation;label for verbs;0;01-05-2012-mno;
233;5,10,$;JPConjVerb;typeRelation;label for Verbs in Conjunctive Form followed by a Conjunction;0;02-nov-2012-mno;
58;3,5,10,$;JPSuruVerb;typeRelation;label for する verbs;0;01-05-2012-mno;
59;5,10,$;JPSuffixSuruNoun;typeConcept;label for noun-forming suffix that can also act as a Suru verb;0;22-06-2012-mno;
60;5,10,$;JPKuruVerb;typeRelation;label for irregular verb Kuru (come);0;02-05-2012-mo;
61;5,10,$;JPKuruVerbOther;typeOther;label for the phrase that can be a form of くる verb or non-verb;0;03-05-2012-mno;
62;5,10,13,$;JPSuffixVerb;typeRelation;label for Verb-forming suffix;0;23-aug-2012-mno;
238;5,7,10,$;JPVerbBase;typeRelation;label for Verbs in Base Form;0;26-nov-2012-mno;
311;5,10,$;JPVerbHypo;typeRelation;label for Verbs in Hypothetical Form;0;25-jul-2013-mno;
239;5,10,$;JPVerbImperfect;typeRelation;label for Verbs in Imperfective Form;0;28-nov-2012-mno;
248;5,10,$;JPVerbPastAttributive;typeRelation;label for Verbs in Past Perfect Attributive Form;0;07-dec-2012-mno;
194;5,10,$;JPVerbEndOther;typeRelation;label for a word that can be a verb ending or something else;0;02-05-2012-mno;
345;5,$;JPVerbSugi;typeConcept;label for Verbs "すぎ";0;12-nov-2014-mno;

/* Single-Character Hiragana (prior to disambiguation) //
313;3,5,10,$;JPspace;typeOther;label for double-width space character;0;05-sep-2013-mno;
63;5,10,13,$;JPi;typeRelation;label for the character い which can be an Adjectival Verb ending or something else;0;10-jul-2012-mno;
64;5,10,13,$;JPu;typeRelation;label for the character う which can be part of a Verb ending or something else;0;09-aug-2012-mno;
65;5,10,$;JPe;typeOther;label for the character え, which can be a Verb Ending or something else;0;10-aug-2012-mno;
66;5,10,$;JPo;typeRelation;label for the character お which can be part of a Verb or something else;0;10-aug-2012-mno;
67;5,10,$;JPka;typeRelation;label for the character か which can be a particle or non-particle;0;03-05-2012-mno;
68;5,10,13,$;JPga;typeOther;label for the character が which can be a particle or non-particle;0;02-05-2012-mno;
69;5,10,$;JPki;typeOther;label for the character き, which can be a Verb Ending or something else;0;09-aug-2012-mno;
70;5,10,$;JPgi;typeOther;label for the character ぎ, which can be a Verb Ending or something else;0;22-aug-2012-mno;
71;5,10,$;JPku;typeRelation;label for the character く which can be an Adjectival Verb ending or something else;0;10-jul-2012-mno;
72;5,10,$;JPgu;typeOther;label for the character ぐ which can be a Verb Ending or something else;0;20-sep-2012-mno;
73;5,10,$;JPke;typeRelation;label for the character け which can be a Verb Ending or something else;0;04-sep-2012-mno;
341;5,10,$;JPge;typeOther;label for the character げ;0;28-oct-2014-mno;
74;5,10,$;JPko;typeOther;label for the character こ;0;07-sep-2012-mno;
272;5,10,$;JPgo;typeOther;Label for the character ご;0;07-jan-2012-mno;
