
/* Lexreps with B or E
;;B om;;SBegin;-;SVIgnoreCap;SVConj;SVCondition;


/* Lexreps for numbers
;;(.|)(0|1|2|3|4|5|6|7|8|9);;SVNum
;;(.|)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);;SVNum;
;;(.|)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);;SVNum;
;;(.|)(0|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);;SVNum;
;;1(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);;SVNum;SVYear;
;;(.|)2(2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);;SVNum;
;;20(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);;SVNum;SVYear;
;;21(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);;SVNum;SVYear;

;;två;;SVNumber;
;;trehundra;;SVNumber;
;;fyrahundra;;SVNumber;
;;sexhundra;;SVNumber;
;;åttahundra;;SVNumber;
;;niohundra;;SVNumber;
;;tvåtusen;;SVNumber;
;;tretusen;;SVNumber;
;;fyratusen;;SVNumber;
;;femtusen;;SVNumber;
;;sextusen;;SVNumber;
;;sjutusen;;SVNumber;
;;åttatusen;;SVNumber;
;;niotusen;;SVNumber;
;;miljonen;;SVNumber;
;;miljoner;;SVNumber;
;;miljonerna;;SVNumber;
;;miljard;;SVNumber;
;;miljarder;;SVNumber;
;;en halv miljon;;SVNumber;
;;en halv miljard;;SVNumber;

;;(två|tre|fyra|fem|sex|sju|åtta|nio|tio|elva|tolv) och en halv;;SVNumber;
;;(två|tre|fyra|fem|sex|sju|åtta|nio|tio|elva|tolv) och ett halvt;;SVNumber;

;;i stället;;SVAdvStruct;SVAdv;
;;i särklass;;SVAdv;
;;i synnerhet;;SVAdv;
;;i alla fall;;SVAdv;
;;i huvudsak;;SVAdv;



;;bort;;SVVerb;SVVerbpt2;
;;ha;;SVAux;SVInf;
;;lydit;;SVVerb
;;smälta;;SVVerb
;;spritt;;SVVerb
;;svält;;SVVerb
;;var tvungen;;SVVerb
;;var;;SVpAux;
;;ha varit;;SVpAux;SVInf;
;;varit tvungen;;SVVerb
;;vikte;;SVVerb
;;vill;;SVmAux
;;vänjde;;SVVerb
;;vänjt;;SVVerb
;;väx;;SVVerb
;;är tvungen;;SVVerb
;;skulle kunna;;SVmAux;

;;det vill säga;;SVConj;
;;påkörda;;SVVerb;








;;akterst;;SVAdv
;;bakerst;;SVAdv
;;borterst;;SVAdv
;;anbefalla;;SVInf
;;andraga;;SVInf
;;anfalla;;SVInf
;;anföra;;SVInf
;;anfräta;;SVInf
;;angiva;;SVInf
;;angöra;;SVInf
;;angripa;;SVInf
;;anhålla;;SVInf
;;anknyta;;SVInf
;;ankomma;;SVInf
;;anlägga;;SVInf
;;anligga;;SVInf
;;anlöpa;;SVInf
;;anmäla;;SVInf
;;anmärka;;SVInf
;;ansätta;;SVInf
;;ansluta;;SVInf
;;ansöka;;SVInf
;;anställa;;SVInf
;;anstränga;;SVInf
;;anstryka;;SVInf
;;ansvälla;;SVInf
;;antaga;;SVInf
;;anträda;;SVInf
;;antyda;;SVInf
;;artbestämma;;SVInf
;;aväta;;SVInf
;;avbeställa;;SVInf
;;avbinda;;SVInf
;;avblåsa;;SVInf
;;avböja;;SVInf
;;avbryta;;SVInf
;;avdagataga;;SVInf
;;avdämma;;SVInf
;;avdöma;;SVInf
;;avdriva;;SVInf
;;avfalla;;SVInf
;;avföra;;SVInf
;;avgiftsbelägga;;SVInf
;;avgiva;;SVInf
;;avgöra;;SVInf
;;avhålla;;SVInf
;;avhända;;SVInf
;;avhänga;;SVInf
