



;;друга;;UKOrdNum;UKAdj;UKAdjNomF;
;;сьома;;UKOrdNum;UKAdj;UKAdjNomF;
;;восьма;;UKOrdNum;UKAdj;UKAdjNomF;
;;четверта;;UKOrdNum;UKAdj;UKAdjNomF;
;;шоста;;UKOrdNum;UKAdj;UKAdjNomF;
;;дев'ята;;UKOrdNum;UKAdj;UKAdjNomF;
;;п'ята;;UKOrdNum;UKAdj;UKAdjNomF;
;;десята;;UKOrdNum;UKAdj;UKAdjNomF;
;;перша;;UKOrdNum;UKAdj;UKAdjNomF;
;;друге;;UKOrdNum;UKAdj;UKAdjNomN;
;;сьоме;;UKOrdNum;UKAdj;UKAdjNomN;
;;восьме;;UKOrdNum;UKAdj;UKAdjNomN;
;;четверте;;UKOrdNum;UKAdj;UKAdjNomN;
;;вшосте;;UKOrdNum;UKAdj;UKAdjNomN;
;;шосте;;UKOrdNum;UKAdj;UKAdjNomN;
;;дев'яте;;UKOrdNum;UKAdj;UKAdjNomN;
;;п'яте;;UKOrdNum;UKAdj;UKAdjNomN;
;;десяте;;UKOrdNum;UKAdj;UKAdjNomN;
;;перше;;UKOrdNum;UKAdj;UKAdjNomN;
;;третє;;UKOrdNum;UKAdj;UKAdjNomN;
;;десятки;;UKNum;UKCon;
;;другими;;UKOrdNum;UKAdj;UKAdjInstrPl;
;;сьомими;;UKOrdNum;UKAdj;UKAdjInstrPl;
;;восьмими;;UKOrdNum;UKAdj;UKAdjInstrPl;
;;четвертими;;UKOrdNum;UKAdj;UKAdjInstrPl;
;;шостими;;UKOrdNum;UKAdj;UKAdjInstrPl;
;;дев'ятими;;UKOrdNum;UKAdj;UKAdjInstrPl;
;;п'ятими;;UKOrdNum;UKAdj;UKAdjInstrPl;
;;десятими;;UKOrdNum;UKAdj;UKAdjInstrPl;
;;першими;;UKOrdNum;UKAdj;UKAdjInstrPl;
;;третіми;;UKOrdNum;UKAdj;UKAdjInstrPl;
;;другий;;UKOrdNum;UKAdj;UKAdjNomM;
;;сьомий;;UKOrdNum;UKAdj;UKAdjNomM;
;;восьмий;;UKOrdNum;UKAdj;UKAdjNomM;
;;стотисячний;;UKOrdNum;UKAdj;UKAdjNomM;
;;тисячний;;UKOrdNum;UKAdj;UKAdjNomM;
;;сотий;;UKOrdNum;UKAdj;UKAdjNomM;
;;четвертий;;UKOrdNum;UKAdj;UKAdjNomM;
;;шостий;;UKOrdNum;UKAdj;UKAdjNomM;
;;дев'ятий;;UKOrdNum;UKAdj;UKAdjNomM;
;;п'ятий;;UKOrdNum;UKAdj;UKAdjNomM;
;;десятий;;UKOrdNum;UKAdj;UKAdjNomM;
;;дев'ятнадцятий;;UKOrdNum;UKAdj;UKAdjNomM;
;;тридцятий;;UKOrdNum;UKAdj;UKAdjNomM;
;;тринадцятий;;UKOrdNum;UKAdj;UKAdjNomM;
;;перший;;UKOrdNum;UKAdj;UKAdjNomM;
;;другій;;UKOrdNum;UKAdj;UKAdjDatLocF;
;;сьомій;;UKOrdNum;UKAdj;UKAdjDatLocF;
;;восьмій;;UKOrdNum;UKAdj;UKAdjDatLocF;
;;третій;;UKOrdNum;UKAdj;UKAdjNomM;UKAdjDatLocF;
;;четвертій;;UKOrdNum;UKAdj;UKAdjDatLocF;
;;шостій;;UKOrdNum;UKAdj;UKAdjDatLocF;
;;дев'ятій;;UKOrdNum;UKAdj;UKAdjDatLocF;
;;п'ятій;;UKOrdNum;UKAdj;UKAdjDatLocF;
;;десятій;;UKOrdNum;UKAdj;UKAdjDatLocF;
;;першій;;UKOrdNum;UKAdj;UKAdjDatLocF;
;;другі;;UKOrdNum;UKAdj;UKAdjNomPl;
;;сьомі;;UKOrdNum;UKAdj;UKAdjNomPl;
;;восьмі;;UKOrdNum;UKAdj;UKAdjNomPl;
;;треті;;UKOrdNum;UKAdj;UKAdjNomPl;
;;четверті;;UKOrdNum;UKAdj;UKAdjNomPl;
;;шості;;UKOrdNum;UKAdj;UKAdjNomPl;
;;дев'яті;;UKOrdNum;UKAdj;UKAdjNomPl;
;;п'яті;;UKOrdNum;UKAdj;UKAdjNomPl;
;;десяті;;UKOrdNum;UKAdj;UKAdjNomPl;
;;двадцяті;;UKOrdNum;UKAdj;UKAdjNomPl;
;;перші;;UKOrdNum;UKAdj;UKAdjNomPl;
;;другої;;UKOrdNum;UKAdj;UKAdjGenF;
;;сьомої;;UKOrdNum;UKAdj;UKAdjGenF;
;;восьмої;;UKOrdNum;UKAdj;UKAdjGenF;
;;четвертої;;UKOrdNum;UKAdj;UKAdjGenF;
;;шостої;;UKOrdNum;UKAdj;UKAdjGenF;
;;дев'ятої;;UKOrdNum;UKAdj;UKAdjGenF;
;;п'ятої;;UKOrdNum;UKAdj;UKAdjGenF;
;;десятої;;UKOrdNum;UKAdj;UKAdjGenF;
;;першої;;UKOrdNum;UKAdj;UKAdjGenF;
;;третьої;;UKOrdNum;UKAdj;UKAdjGenF;
;;другим;;UKOrdNum;UKAdj;UKAdjDatPl;UKAdjInstrMN;
;;сьомим;;UKOrdNum;UKAdj;UKAdjDatPl;UKAdjInstrMN;
;;восьмим;;UKOrdNum;UKAdj;UKAdjDatPl;UKAdjInstrMN;
;;четвертим;;UKOrdNum;UKAdj;UKAdjDatPl;UKAdjInstrMN;
;;шостим;;UKOrdNum;UKAdj;UKAdjDatPl;UKAdjInstrMN;
;;дев'ятим;;UKOrdNum;UKAdj;UKAdjDatPl;UKAdjInstrMN;
;;п'ятим;;UKOrdNum;UKAdj;UKAdjDatPl;UKAdjInstrMN;
;;десятим;;UKOrdNum;UKAdj;UKAdjDatPl;UKAdjInstrMN;
;;дванадцятим;;UKOrdNum;UKAdj;UKAdjDatPl;UKAdjInstrMN;
;;першим;;UKOrdNum;UKAdj;UKAdjDatPl;UKAdjInstrMN;
;;другім;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;сьомім;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;восьмім;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;третім;;UKOrdNum;UKAdj;UKAdjDatPl;UKAdjInstrMN;
;;шостім;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;дев'ятім;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;п'ятім;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;десятім;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;першім;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;xix-го;;UKOrdNum;UKAdj;UKAdjGenMN;
;;другого;;UKOrdNum;UKAdj;UKAdjGenMN;
;;сьомого;;UKOrdNum;UKAdj;UKAdjGenMN;
;;восьмого;;UKOrdNum;UKAdj;UKAdjGenMN;
;;четвертого;;UKOrdNum;UKAdj;UKAdjGenMN;
;;шостого;;UKOrdNum;UKAdj;UKAdjGenMN;
;;дев'ятого;;UKOrdNum;UKAdj;UKAdjGenMN;
;;п'ятого;;UKOrdNum;UKAdj;UKAdjGenMN;
;;десятого;;UKOrdNum;UKAdj;UKAdjGenMN;
;;шістнадцятого;;UKOrdNum;UKAdj;UKAdjGenMN;
;;першого;;UKOrdNum;UKAdj;UKAdjGenMN;
;;третього;;UKOrdNum;UKAdj;UKAdjGenMN;
;;сорокову;;UKOrdNum;UKAdj;UKAdjAccF;
;;другу;;UKOrdNum;UKAdj;UKAdjAccF;
;;другому;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;сьомому;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;восьмому;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;четвертому;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;шостому;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;дев'ятому;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;п'ятому;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;десятому;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;двадцятому;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;першому;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;третьому;;UKOrdNum;UKAdj;UKAdjDatLocMN;
;;восьму;;UKOrdNum;UKAdj;UKAdjAccF;
;;четверту;;UKOrdNum;UKAdj;UKAdjAccF;
;;шосту;;UKOrdNum;UKAdj;UKAdjAccF;
;;дев'яту;;UKOrdNum;UKAdj;UKAdjAccF;
;;п'яту;;UKOrdNum;UKAdj;UKAdjAccF;
;;десяту;;UKOrdNum;UKAdj;UKAdjAccF;
;;першу;;UKOrdNum;UKAdj;UKAdjAccF;
;;других;;UKOrdNum;UKAdj;UKAdjGenPl;
;;восьмиих;;UKOrdNum;UKAdj;UKAdjGenPl;
;;сьомих;;UKOrdNum;UKAdj;UKAdjGenPl;
;;двотисячних;;UKOrdNum;UKAdj;UKAdjGenPl;
;;четвертих;;UKOrdNum;UKAdj;UKAdjGenPl;
;;шостих;;UKOrdNum;UKAdj;UKAdjGenPl;
;;дев'ятих;;UKOrdNum;UKAdj;UKAdjGenPl;
;;п'ятих;;UKOrdNum;UKAdj;UKAdjGenPl;
;;десятих;;UKOrdNum;UKAdj;UKAdjGenPl;
;;п'ятидесятих;;UKOrdNum;UKAdj;UKAdjGenPl;
;;перших;;UKOrdNum;UKAdj;UKAdjGenPl;
;;третіх;;UKOrdNum;UKAdj;UKAdjGenPl;
;;другою;;UKOrdNum;UKAdj;UKAdjInstrF;
;;сьомою;;UKOrdNum;UKAdj;UKAdjInstrF;
;;восьмою;;UKOrdNum;UKAdj;UKAdjInstrF;
;;четвертою;;UKOrdNum;UKAdj;UKAdjInstrF;
;;шостою;;UKOrdNum;UKAdj;UKAdjInstrF;
;;дев'ятою;;UKOrdNum;UKAdj;UKAdjInstrF;
;;п'ятою;;UKOrdNum;UKAdj;UKAdjInstrF;
;;десятою;;UKOrdNum;UKAdj;UKAdjInstrF;
;;першою;;UKOrdNum;UKAdj;UKAdjInstrF;
;;третьою;;UKOrdNum;UKAdj;UKAdjInstrF;
;;третю;;UKOrdNum;UKAdj;UKAdjAccF;
;;третя;;UKOrdNum;UKAdj;UKAdjNomF;
;;чином;;UKChinom;
;;обидва;;UKIndefpronPRCon;UKIndefpron;
;;обома;;UKIndefpronPRCon;UKIndefpron;
;;обоє;;UKIndefpronPRCon;UKIndefpron;
;;обидві;;UKIndefpronPRCon;UKIndefpron;
;;всієї;;UKIndefpronPRCon;UKIndefpron;UKVsjeGen;UKVsje;UKAdjGenF;
;;усієї;;UKIndefpronPRCon;UKIndefpron;UKVsjeGen;UKVsje;UKAdjGenF;
;;обом;;UKIndefpronPRCon;UKIndefpron;
;;всього;;UKIndefpronPRCon;UKIndefpron;UKVsjeGen;UKVsje;UKAdjGenMN;
;;усього;;UKIndefpronPRCon;UKIndefpron;UKVsjeGen;UKVsje;UKAdjGenMN;
;;всіх;;UKIndefpronPRCon;UKIndefpron;UKVsjeGen;UKSup;UKVsje;UKAdjGenPl;
;;усіх;;UKIndefpronPRCon;UKIndefpron;UKVsjeGen;UKVsje;UKAdjGenPl;
;;обох;;UKIndefpronPRCon;UKIndefpron;UKAdjGenPl;
;;ввесь;;UKIndefpronPRCon;UKIndefpron;
;;найважче;;UKComp;
;;вужче;;UKComp;
;;радше;;UKComp;
;;найяскравіше;;UKComp;
;;найважливіше;;UKComp;
;;наймасовіше;;UKComp;
;;найдосконаліше;;UKComp;
;;найтепліше;;UKComp;
;;найпряміше;;UKComp;
;;найактивніше;;UKComp;
;;примітивніше;;UKComp;
;;найголовніше;;UKComp;
;;найпослідовніше;;UKComp;
;;найповніше;;UKComp;
;;найскладніше;;UKComp;
;;найбідніше;;UKComp;
;;найвірогідніше;;UKComp;
;;найпотужніше;;UKComp;
;;найпотаємніше;;UKComp;
;;найцінніше;;UKComp;
;;гарніше;;UKComp;
;;найімовірніше;;UKComp;
;;найкомпактніше;;UKComp;
;;найточніше;;UKComp;
;;найсильніше;;UKComp;
;;найвітряніше;;UKComp;
;;добріше;;UKComp;
;;крутіше;;UKComp;
;;найменше;;UKComp;
;;тонше;;UKComp;
;;найперше;;UKComp;
;;найширше;;UKComp;
;;найгірше;;UKComp;
;;найкраще;;UKComp;
;;найвище;;UKComp;
;;далі;;UKComp;
;;усе менше;;UKCompgr;
;;все менше;;UKCompgr;
;;менше і менше;;UKCompgr;
;;менше i менше;;UKCompgr;
;;щонайменше;;UKCompgr;
;;менше;;UKCompgr;UKMoreLess;
;;більше;;UKCompgr;UKMoreLess;
;;усе більше;;UKCompgr;
;;все більше;;UKCompgr;
;;найбільше;;UKCompgr;
;;більше і більше;;UKCompgr;
;;більше i більше;;UKCompgr;
;;найменш;;UKCompgr;
;;менш;;UKCompgr;UKMoreLess;
;;більш;;UKCompgr;UKMoreLess;
;;найбільш;;UKCompgr;
;;о і s;;UKCon;
;;сполучних штатів;;UKCon;
;;приходу до влади;;UKCon;
;;прихід до влади;;UKCon;
;;приходові до влади;;UKCon;
;;приходом до влади;;UKCon;
;;приході до влади;;UKCon;
;;сполучними штатами;;UKCon;
;;сполучені штати;;UKCon;
;;сполучним штатам;;UKCon;
;;перевірку часом;;UKCon;
;;перевірка часом;;UKCon;
;;перевірки часом;;UKCon;
;;перевірці часом;;UKCon;
;;перевіркою часом;;UKCon;
;;де поланко;;UKCon;
;;рлс про;;UKCon;




;;сполучних штатах;;UKCon;


;;приведення в дію;;UKCon;
;;приведенню в дію;;UKCon;
;;приведенням в дію;;UKCon;
;;приведенні в дію;;UKCon;
;;приведень в дію;;UKCon;
;;приведеннями в дію;;UKCon;
;;приведеннях в дію;;UKCon;
;;час , що залишався;;UKCon;
;;часу , що залишався;;UKCon;
;;часом , що залишався;;UKCon;
;;країн , що розвиваються;;UKCon;
;;країни , що розвиваються;;UKCon;
;;країнам , що розвиваються;;UKCon;
;;країнами , що розвиваються;;UKCon;
;;країнах , що розвиваються;;UKCon;
;;товарів , що експортуються;;UKCon;
;;товари , що експортуються;;UKCon;
;;товарам , що експортуються;;UKCon;
;;товарами , що експортуються;;UKCon;
;;товарах , що експортуються;;UKCon;
;;хіба;;UKConj;
;;дарма;;UKConj;
;;хоча;;UKConj;
;;де б;;UKConj;
;;коли б;;UKConj;




;;з тим щоб;;UKConj;
;;затим щоб;;UKConj;
;;тім щоб;;UKConj;
;;того щоб;;UKConj;
;;для того щоб;;UKConj;
;;то щоб;;UKConj;
;;тому щоб;;UKConj;
;;щоб;;UKConj;
;;немов;;UKConj;

;;невже;;UKConj;
;;коли б не;;UKConj;
;;про те;;UKConj;
;;зате;;UKConj;
;;проте;;UKConj;
;;по-четверте;;UKConj;
;;по-п'яте;;UKConj;
;;одначе;;UKConj;
;;неначе;;UKConj;
;;наче;;UKConj;
;;тим більше;;UKConj;
;;по-третє;;UKConj;
;;де ж;;UKConj;
;;та вже ж;;UKConj;
;;адже ж;;UKConj;
;;туди ж;;UKConj;
;;до того ж;;UKConj;
;;а то ж;;UKConj;
;;аніж;;UKConj;
;;отож;;UKConj;
;;коли раз;;UKConj;
;;буцім би;;UKConj;
;;аби;;UKConj;
;;ніби;;UKConj;
;;якби;;UKConj;
;;щоби;;UKConj;
;;де б таки;;UKConj;
;;де ж таки;;UKConj;
;;доки;;UKConj;


;;допоки;;UKConj;
;;поки;;UKConj;
;;оскільки;;UKConj;
;;як тільки;;UKConj;
;;відколи;;UKConj;
;;для цієї мети;;UKConj;
;;нехай;;UKConj;
;;хай;;UKConj;
;;так і;;UKConj;
;;так i;;UKConj;
;;при спробі;;UKConj;
;;однак;;UKConj;
;;де ж пак;;UKConj;



;;тимчасом, як;;UKConj;
;;в міру того, як;;UKConj;
;;після того, як;;UKConj;
;;у міру того, як;;UKConj;
;;тоді як;;UKConj;
;;так як;;UKConj;
;;перед тим як;;UKConj;
;;перез тим як;;UKConj;
;;після того як;;UKConj;
;;в міру того як;;UKConj;
;;подібно до того як;;UKConj;
;;у міру того як;;UKConj;
;;з того часу як;;UKConj;
;;за тим;;UKConj;
;;при тім;;UKConj;
;;при цім;;UKConj;
;;буцім;;UKConj;
;;бо;;UKConj;
;;коли б то не було;;UKConj;
;;тільки но;;UKConj;
;;щойно;;UKConj;
;;а то;;UKConj;
;;де б то;;UKConj;
;;коли б то;;UKConj;
;;де ж то;;UKConj;
;;буцім то;;UKConj;
;;себто;;UKConj;
;;начебто;;UKConj;



;;за що;;UKConj;
;;дарма що;;UKConj;
;;на що;;UKConj;
;;незважаючи на те що;;UKConj;
;;через те що;;UKConj;


;;поки що;;UKConj;
;;так що;;UKConj;
;;затим що;;UKConj;
;;тим що;;UKConj;
;;у зв'язку з тим що;;UKConj;
;;даром що;;UKConj;
;;тому що;;UKConj;


;;в тому разі;;UKConj;
;;якщо;;UKConj;UKJak;
;;в той же час;;UKConj;
;;у той же час;;UKConj;
;;на той же час;;UKConj;
;;в той час;;UKConj;
;;у той час;;UKConj;
;;на той час;;UKConj;
;;до прикладу;;UKConj;
;;при тому;;UKConj;
;;при чому;;UKConj;
;;по чому;;UKConj;
;;при цьому;;UKConj;
;;хоч;;UKConj;
;;як лиш;;UKConj;
;;на щось;;UKConj;
;;натомість;;UKConj;
;;зокрема;;UKConjNR;
;;мовляв;;UKConjNR;
;;тож;;UKConjNR;
;;бодай;;UKConjNR;
;;відтак;;UKConjNR;
;;втім;;UKConjNR;
;;тим-то;;UKConjNR;
;;напоїв;;UKConVerb;UKConGenPl;
;;слід;;UKConVerb;UKmAux;UKConNomM;
;;гай;;UKConVerb;UKConIfCap;
;;витік;;UKConVerb;UKConNomM;
;;закис;;UKConVerb;UKConNomM;
;;гаю;;UKConVerb;UKConIfCap;
;;середа;;UKDay;
;;понеділка;;UKDay;
;;вівторка;;UKDay;
;;субота;;UKDay;
;;суботи;;UKDay;
;;неділі;;UKDay;
;;п'ятниці;;UKDay;
;;понеділок;;UKDay;
;;вівторок;;UKDay;
;;середам;;UKDay;
;;п'ятницям;;UKDay;
;;четвер;;UKDay;
;;середу;;UKDay;
;;суботу;;UKDay;
;;неділях;;UKDay;
;;п'ятниць;;UKDay;
;;неділю;;UKDay;
;;п'ятницю;;UKDay;
;;неділя;;UKDay;
;;п'ятниця;;UKDay;
;;се;;UKDempron;
;;сими;;UKDempron;
;;сей;;UKDempron;UKConIfCap;
;;оцей;;UKDempron;
;;сій;;UKDempron;
;;отой;;UKDempron;
;;сієї;;UKDempron;UKAdjGenF;
;;сим;;UKDempron;

;;сього;;UKDempron;UKAdjGenMN;
;;от;;UKAdvStruct;
;;сьому;;UKDempron;
;;сих;;UKDempron;UKAdjGenPl;
;;отих;;UKDempron;UKAdjGenPl;
;;сією;;UKDempron;
;;цією;;UKDempron;
;;сю;;UKDempron;
;;рр. до н. е.;;UKECon;UKCon;
;;ц.р.;;UKECon;UKCon;
;;наступні дні;;UKECon;UKCon;
;;кілька разів;;UKECon;UKCon;
;;кілька років;;UKECon;UKCon;
;;тих років;;UKECon;UKCon;
;;тих самоих років;;UKECon;UKCon;
;;кілька днів;;UKECon;UKCon;
;;рр. до н. е;;UKECon;UKCon;
;;рр. до нашої ери;;UKECon;UKCon;
;;році до нашої ери;;UKECon;UKCon;
;;тієї пори;;UKECon;UKCon;
;;тієї самої пори;;UKECon;UKCon;
;;того самого разу;;UKECon;UKCon;
;;того ж року;;UKECon;UKCon;UKYear;
;;цього ж року;;UKECon;UKCon;UKYear;
;;сього року;;UKECon;UKCon;UKYear;
;;того року;;UKECon;UKCon;UKYear;
;;того самого року;;UKECon;UKCon;UKYear;
;;цього року;;UKECon;UKCon;UKYear;
;;початку року;;UKECon;UKCon;
;;кінця року;;UKECon;UKCon;
;;тижнів тому;;UKECon;UKCon;
;;кілька часу;;UKECon;UKCon;
;;цього часу;;UKECon;UKCon;
;;цього моменту;;UKECon;UKCon;







;;тих років;;UKECon;UKCon
;;тої пори;;UKECon;UKCon;
;;секунди потому;;UKECon;UKCon;
;;секунд потому;;UKECon;UKCon;
;;хвилини потому;;UKECon;UKCon;
;;хвилин потому;;UKECon;UKCon;
;;години потому;;UKECon;UKCon;
;;годин потому;;UKECon;UKCon;
;;дня потому;;UKECon;UKCon;
;;днів потому;;UKECon;UKCon;
;;тижнів потому;;UKECon;UKCon;
;;місяця потому;;UKECon;UKCon;
;;місяців потому;;UKECon;UKCon;
;;року потому;;UKECon;UKCon;
;;років потому;;UKECon;UKCon;
;;віків потому;;UKECon;UKCon;
;;століть потому;;UKECon;UKCon;
;;секунди тому;;UKECon;UKCon;
;;секунд тому;;UKECon;UKCon;
;;хвилини тому;;UKECon;UKCon;
;;хвилин тому;;UKECon;UKCon;
;;години тому;;UKECon;UKCon;
;;годин тому;;UKECon;UKCon;
;;дня тому;;UKECon;UKCon;
;;днів тому;;UKECon;UKCon;
;;тижнів тому;;UKECon;UKCon
;;місяця тому;;UKECon;UKCon;
;;місяців тому;;UKECon;UKCon;
;;року тому;;UKECon;UKCon;
;;років тому;;UKECon;UKCon;
;;віків тому;;UKECon;UKCon;
;;століть тому;;UKECon;UKCon;
;;того ж дня;;UKECon;UKCon;
;;цього ж дня;;UKECon;UKCon;
;;того дня;;UKECon;UKCon;
;;соняшного дня;;UKECon;UKCon;
;;того самого дня;;UKECon;UKCon;
;;цього дня;;UKECon;UKCon;
;;середні століття;;UKECon;UKCon;
;;р до н. е.;;UKECon;UKCon;
;;р н. е.;;UKECon;UKCon;
;;р. до н. е.;;UKECon;UKCon;
;;р. н. е.;;UKECon;UKCon;
;;рр до н. е.;;UKECon;UKCon;
;;рр н. е.;;UKECon;UKCon;
;;рр. до н. е.;;UKECon;UKCon
;;рр. н. е.;;UKECon;UKCon;
;;року до н. е.;;UKECon;UKCon;
;;року н. е.;;UKECon;UKCon;
;;років до н. е.;;UKECon;UKCon;
;;років н. е.;;UKECon;UKCon;
;;р до нашої ери;;UKECon;UKCon;
;;р нашої ери;;UKECon;UKCon;
;;р. до нашої ери;;UKECon;UKCon;
;;р. нашої ери;;UKECon;UKCon;
;;рр до нашої ери;;UKECon;UKCon;
;;рр нашої ери;;UKECon;UKCon;
;;рр. до нашої ери;;UKECon;UKCon
;;рр. нашої ери;;UKECon;UKCon;
;;році до нашої ери;;UKECon;UKCon
;;році нашої ери;;UKECon;UKCon;
;;років до нашої ери;;UKECon;UKCon;
;;років нашої ери;;UKECon;UKCon;
;;весни;;UKECon;UKCon;
;;зими;;UKECon;UKCon;
;;цієї осені;;UKECon;UKCon;
;;літо;;UKECon;UKCon;
;;зиму;;UKECon;UKCon;
;;весну;;UKECon;UKCon;
;;льоту;;UKECon;UKCon;
;;четвергах;;UKECon;UKCon;
;;середах;;UKECon;UKCon;
;;понеділках;;UKECon;UKCon;
;;вівторках;;UKECon;UKCon;
;;суботах;;UKECon;UKCon;
;;п'ятницях;;UKECon;UKCon;
;;осінь;;UKECon;UKCon;
;;широкому сенсі слова;;UKAdj;-;UKCon;-;UKECon;UKCon;
;;вужчому сенсі слова;;UKAdj;-;UKCon;-;UKECon;UKCon;
;;широкому сенсі;;UKAdj;-;UKECon;UKCon;
;;вужчому сенсі;;UKAdj;-;UKECon;UKCon;
;;цьому сенсі;;UKECon;UKCon;
;;деякому сенсі;;UKECon;UKCon;
;;-;;UKHyphen;UKPunctuation;
;;–;;UKHyphen;UKPunctuation;
;;—;;UKHyphen;UKPunctuation;
;;братися до відома;;UKInf;
;;довести до відома;;UKInf;
;;мати назву;;UKInf;
;;маяти за мету;;UKInf;
;;брати початок;;UKInf;
;;дати початок;;UKInf;
;;отримати можливість;;UKInf;
;;отримувати можливість;;UKInf;
;;давати можливість;;UKInf;
;;закінчитися внічию;;UKInf;
;;брати участь;;UKInf;
;;взяти участь;;UKInf;
;;йти до кінця;;UKInf;
;;надаватися перевага;;UKInf;
;;надавати перевагу;;UKInf;
;;віддавати перевагу;;UKInf;
;;перервати;;UKInf;
;;стати;;UKInf;
;;жити;;UKInf;
;;лити;;UKInf;
;;відмити;;UKInf;
;;пити;;UKInf;
;;зайти;;UKInf;
;;перейти;;UKInf;
;;йти;;UKInf;
;;іти;;UKInf;
;;піти;;UKInf;
;;пекти;;UKInf;
;;підперти;;UKInf;
;;їсти;;UKInf;
;;рости;;UKInf;
;;дути;;UKInf;
;;прибути;;UKInf;
;;претендовать;;UKInf;
;;мати на увазі;;UKInf;
;;приходити на зміну;;UKInf;
;;прийти на зміну;;UKInf;
;;мати його на увазі;;UKInf;-;UKPosspron;-;UKInf;-;UKInf;
;;мати це на увазі;;UKInf;-;UKTse;-;UKInf;-;UKInf;
;;брати;;UKInfCon;UKConNomPl;
;;грати;;UKInfCon;UKInfAfterVerb;UKConNomPl;
;;плакати;;UKInfCon;UKConNomPl;
;;мати;;UKInfCon;UKConNomF;UKConNomPl;
;;карати;;UKInfCon;UKConNomPl;
;;бити;;UKInf;
;;пасти;;UKInfCon;UKConGenF;UKConNomPl;
;;зрости;;UKInf;
;;з;;UKIz;UKPrep;
;;можлива;;UKKAdj;
;;готова;;UKKAdj;
;;схожа;;UKKAdj;
;;відома;;UKKAdj;
;;ладна;;UKKAdj;
;;необхідна;;UKKAdj;
;;притаманна;;UKKAdj;
;;відмінна;;UKKAdj;
;;характерна;;UKKAdj;
;;вагітна;;UKKAdj;
;;помітна;;UKKAdj;
;;ласкав;;UKKAdj;
;;здоров;;UKKAdj;
;;готов;;UKKAdj;
;;можливе;;UKKAdj;
;;готове;;UKKAdj;
;;схоже;;UKKAdj;
;;відоме;;UKKAdj;
;;надумане;;UKKAdj;
;;ладне;;UKKAdj;
;;необхідне;;UKKAdj;
;;притаманне;;UKKAdj;
;;характерне;;UKKAdj;
;;відсутнє;;UKKAdj;
;;можливий;;UKKAdj;
;;неможливий;;UKKAdj;
;;готовий;;UKKAdj;
;;схожий;;UKKAdj;
;;відомий;;UKKAdj;
;;знайомий;;UKKAdj;
;;ладний;;UKKAdj;
;;необхідний;;UKKAdj;
;;притаманний;;UKKAdj;
;;винний;;UKKAdj;
;;відмінний;;UKKAdj;
;;характерний;;UKKAdj;
;;причетний;;UKKAdj;
;;відсутній;;UKKAdj;
;;важливі;;UKKAdj;
;;можливі;;UKKAdj;
;;схожі;;UKKAdj;
;;відомі;;UKKAdj;
;;наявні;;UKKAdj;
;;ладні;;UKKAdj;
;;необхідні;;UKKAdj;
;;притаманні;;UKKAdj;
;;відмінні;;UKKAdj;
;;характерні;;UKKAdj;
;;недостатні;;UKKAdj;
;;причетні;;UKKAdj;
;;відсутні;;UKKAdj;
;;варті;;UKKAdj;
;;дрібен;;UKKAdj;
;;славен;;UKKAdj;
;;певен;;UKKAdj;
;;повен;;UKKAdj;
;;ладен;;UKKAdj;
;;згоден;;UKKAdj;
;;зелен;;UKKAdj;
;;винен;;UKKAdj;
;;ясен;;UKKAdj;
;;варт;;UKKAdj;
;;зроду;;UKKAdj;
;;недостатня;;UKKAdj;
;;відсутня;;UKKAdj;
;;коло;;UKKolo;
;;,;;UKComma;

;;кожна;;UKKozhen;UKAdj;UKAdjNomF;
;;кожне;;UKKozhen;UKAdj;UKAdjNomN;
;;кожними;;UKKozhen;UKAdj;UKAdjInstrPl;
;;кожний;;UKKozhen;UKAdj;UKAdjNomF;
;;кожній;;UKKozhen;UKAdj;UKAdjNomM;UKAdjDatLocF;
;;кожні;;UKKozhen;UKAdj;UKAdjNomPl;
;;кожної;;UKKozhen;UKAdj;UKGen;
;;кожним;;UKKozhen;UKAdj;UKAdjDatPl;UKAdjInstrMN;
;;кожнім;;UKKozhen;UKAdj;UKAdjDatLocMN;
;;кожен;;UKKozhen;UKAdj;UKAdjNomM;
;;кожного;;UKKozhen;UKAdj;UKGen;UKAdjGenMN;
;;кожному;;UKKozhen;UKAdj;UKAdjDatLocMN;
;;кожну;;UKKozhen;UKAdj;UKAdjAccF;
