/* This file requires rewriting of ß to ss in prepro.csv, but no rewriting of ä, ö and ü.
/* It recognizes input with ä, ö, ü as well as with ae, oe, ue.

;;-;KB17, added Hyphen #19-sde;DEKomma;DEHyphen
/*;;74;KB11;DENum;DEAttradj;
/*;;75;KB11;DENum;DEAttradj;
/*;;76;KB11;DENum;DEAttradj;
/*;;77;KB11;DENum;DEAttradj;
/*;;78;KB11;DENum;DEAttradj;
/*;;79;KB11;DENum;DEAttradj;
/*;;8;KB11;DENum;DEAttradj;
;;8.;KB 14, format adapted on 20120904;DENumadj;
/*;;80;KB11;DENum;DEAttradj;
/*;;800;KB11;DENum;DEAttradj;
/*;;81;KB11;DENum;DEAttradj;
/*;;82;KB11;DENum;DEAttradj;
/*;;83;KB11;DENum;DEAttradj;
/*;;84;KB11;DENum;DEAttradj;
/*;;85;KB11;DENum;DEAttradj;
/*;;86;KB11;DENum;DEAttradj;
/*;;87;KB11;DENum;DEAttradj;
/*;;88;KB11;DENum;DEAttradj;
/*;;89;KB11;DENum;DEAttradj;
/*;;9;KB11;DENum;DEAttradj;
;;9.;KB 14, format adapted on 20120904;DENumadj;
/*;;90;KB11;DENum;DEAttradj;
/*;;900;KB11;DENum;DEAttradj;
/*;;91;KB11;DENum;DEAttradj;
/*;;92;KB11;DENum;DEAttradj;
/*;;93;KB11;DENum;DEAttradj;
/*;;94;KB11;DENum;DEAttradj;
/*;;95;KB11;DENum;DEAttradj;
/*;;96;KB11;DENum;DEAttradj;
/*;;97;KB11;DENum;DEAttradj;
/*;;98;KB11;DENum;DEAttradj;
/*;;99;KB11;DENum;DEAttradj;



;;à;KB07;DEPrep;
;;aachener;KB08;DEGeoadj;
;;ab;KB11;DEVerbteil;
;;abändere;KB11,abändern;DERel;
;;abändern;KB11,abändern;DEInf;
;;abänderst;KB11,abändern;DERel;
;;abändert;KB11,abändern;DERel;
;;abänderte;KB11,abändern;DERel;
;;abänderten;KB11,abändern;DERel;
;;abarbeite;KB11,abarbeiten;DERel;
;;abarbeiten;deel5;DEInf;
;;abarbeitest;KB11,abarbeiten;DERel;
;;abarbeitet;KB11,abarbeiten;DERel;
;;abarbeitete;KB11,abarbeiten;DERel;
;;abarbeiteten;KB11,abarbeiten;DERel;
;;abbaue;deel4;DERel;
;;abbauen;;DEInf;
;;abbaust;KB11,abbauen;DERel;
;;abbaut;KB11,abbauen;DERel;
;;abbaute;KB11,abbauen;DERel;
;;abbauten;KB11,abbauen;DERelCon;
;;abbekam;KB11,abbekommen;DERel;
;;abbekamen;KB11,abbekommen;DERel;
;;abbekomme;KB11,abbekommen;DERel;
;;abbekommen;deel4;DEInf;
;;abbekommst;KB11,abbekommen;DERel;
;;abbekommt;KB11,abbekommen;DERel;
;;abberief;KB11,abberufen;DERel;
;;abberiefen;KB11,abberufen;DERel;
;;abberufe;KB11,abberufen;DERel;
;;abberufen;deel3;DEInf;
;;abberufst;KB11,abberufen;DERel;
;;abberuft;KB11,abberufen;DERel;
;;abbestelle;KB11,abbestellen;DERel;
;;abbestellen;KB11,abbestellen;DEInf;
;;abbestellst;KB11,abbestellen;DERel;
;;abbestellt;KB11,abbestellen;DERel;
;;abbestellte;KB11,abbestellen;DEVerbAdj;
;;abbestellten;KB11,abbestellen;DEVerbAdj;
;;abbiege;KB11,abbiegen;DERel;
;;abbiegen;deel5;DEInf;
;;abbiegst;KB11,abbiegen;DERel;
;;abbiegt;KB11,abbiegen;DERel;
;;abbilde;KB11;DERel;
;;abbilden;KB11;DEInf;
;;abbildest;KB11,abbilden;DERel;
;;abbildet;KB11;DERel;
;;abbildete;KB11;DERel;
;;abbildeten;KB11,abbilden;DERel;
;;abbog;KB11,abbiegen;DERel;
;;abbogen;KB11,abbiegen;DERel;
;;abbrach;KB11,abbrechen;DERel;
;;abbrachen;KB11,abbrechen;DERel;
;;abbrachte;KB11,abbringen;DERel;
;;abbrachten;KB11,abbringen;DERel;
;;abbrannte;KB11,abbrennen;DERel;
;;abbrannten;KB11,abbrennen;DERel;
;;abbreche;KB11,abbrechen;DERel;
;;abbrechen;deel2;DEInf;
;;abbrecht;KB11,abbrechen;DERel;
;;abbremse;KB11,abbremsen;DERel;
;;abbremsen;KB11,abbremsen;DEInf;
;;abbremst;KB11,abbremsen;DERel;
;;abbremste;KB11,abbremsen;DERel;
;;abbremsten;KB11,abbremsen;DERel;
;;abbrenne;KB11,abbrennen;DERel;
;;abbrennen;KB11,abbrennen;DEInf;
;;abbrennst;KB11,abbrennen;DERel;
;;abbrennt;KB11,abbrennen;DERel;
;;abbrichst;KB11,abbrechen;DERel;
;;abbricht;KB11,abbrechen;DERel;
;;abbringe;KB11,abbringen;DERel;
;;abbringen;deel3;DEInf;
;;abbringst;KB11,abbringen;DERel;
;;abbringt;KB11,abbringen;DERel;
;;abbuche;KB11,abbuchen;DERel;
;;abbuchen;KB11,abbuchen;DEInf;
;;abbuchst;KB11,abbuchen;DERel;
;;abbucht;KB11,abbuchen;DERel;
;;abbuchte;KB11,abbuchen;DERel;
;;abbuchten;KB11,abbuchen;DERel;
;;abdecke;KB11,abdecken;DERel;
;;abdecken;deel3;DEInf;
;;abdeckst;KB11,abdecken;DERel;
