/* This file requires rewriting of ß to ss in prepro.csv, but no rewriting of ä, ö and ü.
/* It recognizes input with ä, ö, ü as well as with ae, oe, ue.

;;-;KB17, added Hyphen #19-sde;DEKomma;DEHyphen
;;mitschleiften;KB11,mitschleifen;DERel;
;;mitschreibe;KB11,mitschreiben;DERel;
;;mitschreiben;KB11,mitschreiben;DEInf;
;;mitschreibst;KB11,mitschreiben;DERel;
;;mitschreibt;KB11,mitschreiben;DERel;
;;mitschrieb;KB11,mitschreiben;DERel;
;;mitschrieben;KB11,mitschreiben;DERel;
;;mitschuldig;KB08;DEPredadj;
;;mitschwang;KB11,mitschwingen;DERel;
;;mitschwangen;KB11,mitschwingen;DERel;
;;mitschwinge;KB11,mitschwingen;DERel;
;;mitschwingen;KB11;DEInf;
;;mitschwingst;KB11,mitschwingen;DERel;
;;mitschwingt;KB11,mitschwingen;DERel;
;;mitspiele;KB11,mitspielen;DERel;
;;mitspielen;deel5;DEInf;
;;mitspielst;KB11,mitspielen;DERel;
;;mitspielt;KB11,mitspielen;DERel;
;;mitspielte;KB11,mitspielen;DERel;
;;mitspielten;KB11,mitspielen;DERel;
;;mitsprach;KB11,mitsprechen;DERel;
;;mitsprachen;KB11,mitsprechen;DERel;
;;mitspreche;KB11,mitsprechen;DERel;
;;mitsprechen;KB11;DEInf;
;;mitsprecht;KB11,mitsprechen;DERel;
;;mitsprichst;KB11,mitsprechen;DERel;
;;mitspricht;KB11,mitsprechen;DERel;
;;mittags;deel3, added ConIfCap 11-12-2015-sde;DEAdv;DEAdvTime;DEConIfCap;
;;mitteile;KB11,mitteilen;DERel;
;;mitteilen;;DEInf;
;;mitteilst;KB11,mitteilen;DERel;
;;mitteilt;deel3;DERel;
;;mitteilte;;DERel;
;;mitteilten;;DERel;
;;mittelalterliche;KB08;DEAttradj;
;;mittelalterlichen;KB08;DEAttradj;
;;mittelamerikanischen;KB08;DEGeoadj;
;;mittelbayerischen;KB08;DEGeoadj;
;;mitteldeutsche;KB08;DEGeoadj;
;;mitteleuropäische;KB08;DEGeoadj;
;;mitteleuropäischen;KB08;DEGeoadj;
;;mitteleuropäischer;KB08;DEGeoadj;
;;mittelfränkischen;KB08;DEGeoadj;
;;mittelfristig;KB08;DEPredadj;
;;mittelfristige;KB08;DEAttradj;
;;mittelfristigen;KB08;DEAttradj;
;;mittelgrossen;KB08;DEAttradj;
;;mittelradioaktive;KB08;DEAttradj;
;;mittelradioaktiven;KB08;DEAttradj;
;;mittelscharfem;KB14;DEAttradj;
;;mittelständische;KB08;DEAttradj;
;;mittelständischen;KB08;DEAttradj;
;;mittelständischer;KB08;DEAttradj;
;;mitten in;2014.2-sde;DEPrep;
;;mitten im;2014.2-sde;DEPrepart;
;;mitten ins;2014.2-sde;DEPrepart;
/* ;;mitten;KB07;DEAdv;DEAdvPlace; removed 2014.2-sde
;;mittlere;KB08;DEAttradj;
;;mittleren;KB08;DEAttradj;
;;mittlerer;KB08;DEAttradj;
;;mittlerweile;deel1;DEAdv;DEAdvNonrelevant;
;;mitträgst;KB11,mittragen;DERel;
;;mitträgt;KB11,mittragen;DERel;
;;mittrage;deel4;DERel;
;;mittragen;;DEInf;
;;mittragt;KB11,mittragen;DERel;
;;mittrug;KB11,mittragen;DERel;
;;mittrugen;KB11,mittragen;DERel;
;;mittwochs;11-12-2015-sde;DEAdv;DEAdvTime;DEConIfCap;
;;mitunter;KB14, changed AdvFreq into AdvTemp 14-12-2015-sde;DEAdv;DEAdvTemp;
;;mitverantwortlich;KB08;DEPredadj;
;;mitverfolgt;KB14,mitverfolgen;DEPart;
;;mitverlesen;KB11;DEInf;
;;mitverschuldet;KB08;DEPredadj;
;;mitversichert;deel4;DERel;
;;mitverursacht;deel5;DERel;
;;mitwirke;KB11,mitwirken;DERel;
;;mitwirken;deel2;DEInf;
;;mitwirkende;DTI,mitwirkend;DEAttradj;
;;mitwirkst;KB11,mitwirken;DERel;
;;mitwirkt;KB11;DERel;
;;mitwirkte;KB11,mitwirken;DERel;
;;mitwirkten;KB11,mitwirken;DERel;
;;mitzähle;KB11,mitzählen;DERel;
;;mitzählen;KB11,mitzählen;DEInf;
;;mitzählst;KB11,mitzählen;DERel;
;;mitzählt;KB11,mitzählen;DERel;
;;mitzählte;KB11,mitzählen;DERel;
;;mitzählten;KB11,mitzählen;DERel;
;;mitziehe;KB11,mitziehen;DERel;
;;mitziehen;deel4;DEInf;
;;mitziehst;KB11,mitziehen;DERel;
;;mitzieht;KB11,mitziehen;DERel;
;;mitzog;KB11,mitziehen;DERel;
;;mitzogen;KB11,mitziehen;DERel;
;;mitzuarbeiten;;DEZuInf;
;;mitzubedenken;KB11;DEZuInf;
;;mitzubekommen;KB11,mitbekommen;DEZuInf;
;;mitzuberücksichtigen;KB11,mitberücksichtigen;DEZuInf;
;;mitzubestimmen;KB11,mitbestimmen;DEZuInf;
;;mitzubieten;KB11,mitbieten;DEZuInf;
;;mitzubringen;;DEZuInf;
;;mitzudenken;KB11;DEZuInf;
;;mitzudiskutieren;KB11;DEZuInf;
;;mitzudiskutiert;KB11,mitzudiskutieren;DERel;
;;mitzuentscheiden;;DEZuInf;
;;mitzuerleben;KB11,miterleben;DEZuInf;
;;mitzufinanzieren;;DEZuInf;
;;mitzugeben;KB11,mitgeben;DEZuInf;
;;mitzugehen;;DEZuInf;
;;mitzugeniessen;KB11,mitgeniessen;DEZuInf;
;;mitzugestalten;;DEZuInf;
;;mitzuhalten;KB11,mithalten;DEZuInf;
;;mitzuhandeln;KB11,mithandeln;DEZuInf;
;;mitzuhelfen;;DEZuInf;
;;mitzukommen;KB11,mitkommen;DEZuInf;
;;mitzukriegen;KB11,mitkriegen;DEZuInf;
;;mitzulesen;KB11,mitlesen;DEZuInf;
;;mitzuliefern;KB16,mitliefern;DEZuInf;
;;mitzumachen;;DEZuInf;
;;mitzunehmen;;DEZuInf;
;;mitzuprägen;KB11,mitprägen;DEZuInf;
;;mitzureden;;DEZuInf;
;;mitzuregieren;;DEZuInf;
;;mitzureisen;KB11;DEZuInf;
;;mitzureissen;KB11,mitreissen;DEZuInf;
;;mitzuschleifen;KB11,mitschleifen;DEZuInf;
;;mitzuschreiben;KB11,mitschreiben;DEZuInf;
;;mitzuschwingen;KB11,mitschwingen;DEZuInf;
;;mitzuspielen;KB11,mitspielen;DEZuInf;
;;mitzusprechen;KB11,mitsprechen;DEZuInf;
;;mitzusteuern;KB11;DEZuInf;
;;mitzuteilen;;DEZuInf;
;;mitzutragen;;DEZuInf;
;;mitzuwirken;;DEZuInf;
;;mitzuzählen;KB11,mitzählen;DEZuInf;
;;mitzuziehen;KB11,mitziehen;DEZuInf;
;;mixe;KB11,mixen;DERelCon;
;;mixen;KB11;DEInf;
;;mixst;KB11,mixen;DERel;
;;mixt;KB11,mixen;DERel;
;;mixte;KB11,mixen;DERel;
;;mixten;KB11,mixen;DERel;
;;m lange;04-12-2015-sde;DEAttradj;
;;m langem;04-12-2015-sde;DEAttradj;
;;m langen;04-12-2015-sde;DEAttradj;
;;m langer;04-12-2015-sde;DEAttradj;
;;m langes;04-12-2015-sde;DEAttradj;
;;mobbende;DTI,mobbend;DEAttradj;
;;mobil;KB08;DEPredadj;
;;mobile;KB08;DEAttradj;
;;mobilen;KB08;DEAttradj;
;;mobiler;KB08;DEAdj;
;;mobiles;KB08;DEAttradj;
;;mobilisiere;KB11;DERel;
;;mobilisieren;;DEInf;
;;mobilisierst;KB11,mobilisieren;DERel;
;;mobilisiert;deel2;DERel;
;;mobilisierte;KB11,mobilisieren;DEVerbAdj;
;;mobilisierten;KB11,mobilisieren;DEVerbAdj;
;;mochte;;DERelAux;
;;mochten;KB07;DERelAux;
;;modeln;DTI,modeln;DERelCon;
;;moderat;KB08;DEPredadj;
;;moderate;KB08;DEAttradj;
;;moderatem;KB08;DEAttradj;
;;moderaten;KB08;DEAttradj;
;;moderatere;KB08;DEAttradj;
;;moderiere;KB11,moderieren;DERel;
;;moderieren;;DEInf;
;;moderierst;KB11,moderieren;DERel;
;;moderiert;deel4;DERel;
;;moderierte;deel4;DERel;
;;moderierten;KB11;DEVerbAdj;
;;modern;KB08;DEPredadj;
;;moderne;KB08;DEAttradj;
;;modernen;KB08;DEAttradj;
;;moderner;KB08;DEAdj;
;;modernere;KB08;DEAttradj;
;;moderneren;DTI,modern;DEAttradj;
;;modernes;KB08;DEAttradj;
;;modernisiere;KB11,modernisieren;DERel;
;;modernisieren;;DEInf;
;;modernisierst;KB11,modernisieren;DERel;
;;modernisiert;deel2;DERel;
;;modernisierte;deel5;DEVerbAdj;
;;modernisierten;KB11,modernisieren;DEVerbAdj;
;;modernste;KB08;DEAttradj;
;;modernsten;KB08;DEAttradj;
;;modernster;KB08;DEAttradj;
;;modernstes;KB08;DEAttradj;
;;modifizierbaren;KB14;DEAttradj;
;;modifiziere;KB11,modifizieren;DERel;
;;modifizieren;;DEInf;
;;modifizierst;KB11,modifizieren;DERel;
;;modifiziert;KB11,modifizieren;DERel;
;;modifizierte;KB11,modifizieren;DEVerbAdj;
;;modifizierten;KB11;DEVerbAdj;
;;modifizierter;KB14;DEAttradj;
;;möchte;;DERelAux;
;;möchten;KB12,mögen;DERelAux;
;;möge;;DERelAux;
;;mögen;;DEInf;
;;möglich;KB08;DEPredadj;
;;mögliche;KB08;DEAttradj;
;;möglichem;KB08;DEAttradj;
;;möglichen;KB08;DEAttradj;
;;möglicher;KB08;DEAttradj;
;;möglicherweise;;DEAdv;DEAdvModality;
;;mögliches;KB08;DEAttradj;
;;möglichst schnell;2016-01-12-sde;DEAdv;DEAdvTemp;
;;möglichst viel;2014.2-sde;DEAdv;DEAdvDegree;-;DEAttradj;
;;möglichst viele;2014.2-sde;DEAdv;DEAdvDegree;-;DEAttradj;
;;möglichst vielen;2014.2-sde;DEAdv;DEAdvDegree;-;DEAttradj;
;;möglichst;KB07;DEAdv;DEAdvModality;
;;mögt;KB11,mögen;DERelAux;
;;mörderische;KB08;DEAttradj;
;;mörderischem;DTI,mörderisch;DEAttradj;
;;mörderischen;DTI,mörderisch;DEAttradj;
;;mörderischer;DTI,mörderisch;DEAttradj;
;;mörderisches;DTI,mörderisch;DEAttradj;
;;momentan;deel1, changed AdvTime into AdvTemp 10-12-2015-sde;DEAdv;DEAdvTemp;
;;momentane;KB08;DEAttradj;
;;momentanen;KB08;DEAttradj;
;;monarchischen;KB14;DEAttradj;
;;monat später;11-12-2015-sde;DEZeit2;
;;monate später;11-12-2015-sde;DEZeit2;
;;monaten später;11-12-2015-sde;DEZeit2;
;;monat vorher;11-12-2015-sde;DEZeit2;
;;monate vorher;11-12-2015-sde;DEZeit2;
;;monaten vorher;11-12-2015-sde;DEZeit2;
;;monat zuvor;11-12-2015-sde;DEZeit2;
;;monate zuvor;11-12-2015-sde;DEZeit2;
;;monaten zuvor;11-12-2015-sde;DEZeit2;
;;monatelang;KB08;DEPredadj;
;;monatelange;KB08;DEAttradj;
;;monatelangem;KB08;DEAttradj;
;;monatelangen;KB08;DEAttradj;
;;monatelanger;KB08;DEAttradj;
;;monatlich;KB08;DEPredadj;
;;monatliche;KB08;DEAttradj;
;;monatlichen;KB08;DEAttradj;
;;monatlicher;KB08;DEAttradj;
;;monheim am rhein;DEGeo,KB17;DECon;
;;moniert;deel3;DERel;
;;monierte;deel2;DERel;
;;monierten;deel3;DEVerbAdj;
;;monströs;KB12;DEPredadj;
;;monströse;KB12;DEAttradj;
;;monströsem;KB12;DEAttradj;
;;monströsen;KB12;DEAttradj;
;;monströser;KB12;DEAttradj;
;;monströses;KB12;DEAttradj;
;;montags;11-12-2015-sde;DEAdv;DEAdvTime;DEConIfCap;
;;montiere;KB11,montieren;DERel;
;;montieren;;DEInf;
;;montierst;KB11,montieren;DERel;
;;montiert;deel3;DERel;
;;montierte;KB11,montieren;DEVerbAdj;
;;montierten;KB11;DEVerbAdj;
;;moosburg an der isar;DEGeo,KB17;DECon;
;;moralisch;KB08;DEPredadj;
;;moralische;KB08;DEAttradj;
;;moralischen;KB08;DEAttradj;
;;moralischer;KB08;DEAdj;
;;moralisierte;KB11;DEVerbAdj;
;;morde;;DERelCon;
;;morden;deel2;DERelCon;
;;morgen abend;11-12-2015-sde;DEAdv;DEAdvTime;
;;morgen vormittag;11-12-2015-sde;DEAdv;DEAdvTime;
;;morgen nachmittag;11-12-2015-sde;DEAdv;DEAdvTime;
;;morgen;11-12-2015-sde;DEAdv;DEAdvTime;DEConIfCap;
;;morgendlichen;KB08;DEAttradj;
;;morgige;KB08;DEAttradj;
;;morgigen;KB08;DEAttradj;
;;morschen;KB14,morschen;DEVerbAdj;
;;mosche;deel4;DERel;
;;moslemische;KB08;DEAttradj;
;;moslemischen;KB08;DEAttradj;
;;moslemischer;KB08;DEAttradj;
;;motiviere;KB11,motivieren;DERel;
;;motivieren;;DEInf;
;;motivierende;DTI,motivierend;DEAttradj;
;;motivierst;KB11,motivieren;DERel;
;;motiviert;deel2;DERel;
;;motivierte;deel3;DEVerbAdj;
;;motivierten;deel3;DEVerbAdj;
;;motivierter;KB08;DEAdj;
;;motorisierte;KB14,motorisieren;DEVerbAdj;
;;motorisierten;deel4;DEVerbAdj;
;;mühelos;KB08;DEPredadj;
;;mühen;KB11;DERelCon;
;;mühldorf am inn;DEGeo,KB17;DECon;
;;mühlhausen im täle;DEGeo,KB17;DECon;
;;mühlheim am main;DEGeo,KB17;DECon;
;;mühlheim an der donau;DEGeo,KB17;DECon;
;;mühsam;KB08;DEPredadj;
;;mühte;KB11;DERel;
;;mülheim an der ruhr;DEGeo,KB17;DECon;
;;münchweiler am klingbach;DEGeo,KB17;DECon;
;;münchweiler an der alsenz;DEGeo,KB17;DECon;
;;münchweiler an der rodalb;DEGeo,KB17;DECon;
;;münden;DTI,münden;DERelCon;
;;mündet;KB14,münden;DERel;
;;mündlich;KB08;DEPredadj;
;;mündliche;KB08;DEAttradj;
;;mündlichen;KB08;DEAttradj;
;;mündlicher;KB08;DEAttradj;
;;müsse;;DERelAux;
;;müssen;;DERelAux;
;;müsst;KB07;DERelAux;
;;müsste;;DERelAux;
;;müssten;;DERelAux;
;;muhr am see;DEGeo,KB17;DECon;
;;multikulturelle;KB08;DEAttradj;
;;multikulturellen;KB08;DEAttradj;
;;multimedialen;KB08;DEAttradj;
;;multinationale;KB08;DEAttradj;
;;multinationalen;KB08;DEAttradj;
;;multipliziere;KB16,multiplizieren;DERel;
;;multiplizieren;KB16,multiplizieren;DEInf;
;;multiplizierte;KB16,multiplizieren;DEVerbAdj;
;;multiplizierten;KB16,multiplizieren;DEVerbAdj;
;;multireligiöse;KB08;DEAttradj;
;;mundet;KB14,munden;DERel;
;;mundete;KB14,munden;DERel;
;;mundeten;KB14,munden;DERel;
;;mundtot;KB08;DEPredadj;
;;murmelt;KB07;DERel;
;;murnau am staffelsee;DEGeo,KB17;DECon;
;;musikalisch;KB08;DEPredadj;
;;musikalische;KB08;DEAttradj;
;;musikalischem;DTI,musikalisch;DEAttradj;
;;musikalischen;KB08;DEAttradj;
;;musikalischer;DTI,musikalisch;DEAttradj;
;;musikalisches;DTI,musikalisch;DEAttradj;
;;musizieren;DTI,musizieren;DEInf;
;;musiziert;deel4;DERel;
;;musizierte;DTI,musizieren;DERel;
;;musizierten;DTI,musizieren;DERel;
;;muslemische;KB08;DEAttradj;
;;muslimische;KB08;DEAttradj;
;;muslimischen;KB08;DEAttradj;
;;muslimischer;KB08;DEAdj;
;;muss;;DERelAux;
;;musst;KB14,müssen;DERelAux;
;;musste;;DERelAux;
;;mussten;;DERelAux;
;;mustere;KB11,mustern;DERel;
;;mustern;KB11;DERelCon;
;;musterst;KB11,mustern;DERel;
;;mustert;KB11,mustern;DERel;
;;musterte;KB11,mustern;DERel;
;;musterten;KB11,mustern;DERel;
;;mutet;DTI,muten;DERel;
;;mutieren;KB14;DEInf;
;;mutig;KB08;DEPredadj;
;;mutige;KB08;DEAttradj;
;;mutigen;KB08;DEAttradj;
;;mutiger;KB08;DEAdj;
;;mutmasse;KB11,mutmassen;DERel;
;;mutmassen;KB11;DERelCon;
;;mutmasslich;KB08;DEPredadj;
;;mutmassliche;KB08;DEAttradj;
;;mutmasslichem;KB08;DEAttradj;
;;mutmasslichen;KB08;DEAttradj;
;;mutmasslicher;KB08;DEAttradj;
;;mutmassliches;KB08;DEAttradj;
;;mutmasst;KB11,mutmassen;DERel;
;;mutmasste;KB11;DERel;
;;mutmassten;KB11,mutmassen;DERel;
;;mutwillig;KB08;DEPredadj;
;;mysteriösen;KB08;DEAttradj;
;;mythische;DTI,mythisch;DEAttradj;
;;nach;;DEPrep;
;;nach wie vor;KB09, changed AdvTime into AdvTemp 10-12-2015-sde;DEAdv;DEAdvTemp;
;;nachahme;KB11,nachahmen;DERel;
;;nachahmen;KB11,nachahmen;DEInf;
;;nachahmst;KB11,nachahmen;DERel;
;;nachahmt;KB11,nachahmen;DERel;
;;nachahmte;KB11,nachahmen;DERel;
;;nachahmten;KB11,nachahmen;DERel;
;;nacharbeite;KB11,nacharbeiten;DERel;
;;nacharbeiten;KB11,nacharbeiten;DEInf;
;;nacharbeitest;KB11,nacharbeiten;DERel;
;;nacharbeitet;KB11,nacharbeiten;DERel;
;;nacharbeitete;KB11,nacharbeiten;DERel;
;;nacharbeiteten;KB11,nacharbeiten;DERel;
;;nachbarschaftlichen;KB08;DEAttradj;
;;nachbaue;DTI,nachbauen;DERel;
;;nachbauen;DTI,nachbauen;DEInf;
;;nachbaut;DTI,nachbauen;DERel;
;;nachbaute;DTI,nachbauen;DERel;
;;nachbauten;DTI,nachbauen;DERelCon;
;;nachbearbeitet;KB11;DERel;
;;nachbeben;deel4;DERelCon;
;;nachbessere;KB11,nachbessern;DERel;
;;nachbessern;deel2;DEInf;
;;nachbesserst;KB11,nachbessern;DERel;
;;nachbessert;KB11,nachbessern;DERel;
;;nachbesserte;KB11,nachbessern;DERel;
;;nachbesserten;KB11,nachbessern;DERel;
;;nachbilde;KB11,nachbilden;DERel;
;;nachbilden;KB11;DEInf;
;;nachbildest;KB11,nachbilden;DERel;
;;nachbildet;KB11,nachbilden;DERel;
;;nachbildete;KB11,nachbilden;DERel;
;;nachbildeten;KB11,nachbilden;DERel;
;;nachbörslich;KB08;DEPredadj;
;;nachcodiert;KB11;DERel;
;;nachdachte;KB11,nachdenken;DERel;
;;nachdachten;KB11,nachdenken;DERel;
;;nachdem;;DEConj;
;;nachdenke;deel4;DERel;
;;nachdenken;;DEInf;
;;nachdenklich;KB08;DEPredadj;
;;nachdenkliche;DTI,nachdenklich;DEAttradj;
;;nachdenklichem;DTI,nachdenklich;DEAttradj;
;;nachdenklichen;DTI,nachdenklich;DEAttradj;
;;nachdenklicher;DTI,nachdenklich;DEAdj;
;;nachdenkliches;DTI,nachdenklich;DEAttradj;
;;nachdenkst;KB11,nachdenken;DERel;
;;nachdenkt;KB11,nachdenken;DERel;
;;nachdrücklich;KB08;DEPredadj;
;;nachdrückliche;KB08;DEAttradj;
;;nacheinander;KB07 DEAdv, changed 2014.2-sde;DEAdv;DEVerbteil;
;;nacherzähle;KB11,nacherzählen;DERel;
;;nacherzählen;KB11;DEInf;
;;nacherzählst;KB11,nacherzählen;DERel;
;;nacherzählt;KB11,nacherzählen;DERel;
;;nacherzählte;KB11,nacherzählen;DEVerbAdj;
;;nacherzählten;KB11,nacherzählen;DEVerbAdj;
;;nachfährst;KB11,nachfahren;DERel;
;;nachfährt;KB11,nachfahren;DERel;
;;nachfahre;KB11,nachfahren;DERelCon;
;;nachfahren;deel4;DEInf;
;;nachfahrt;KB11,nachfahren;DERel;
;;nachfolge;;DERelCon;
;;nachfolgen;deel3;DEInf;
;;nachfolgend;KB08;DEPredadj;
;;nachfolgende;KB08;DEAttradj;
;;nachfolgenden;KB08;DEAttradj;
;;nachfolgst;KB11,nachfolgen;DERel;
;;nachfolgt;KB11,nachfolgen;DERel;
;;nachfolgte;KB11,nachfolgen;DERel;
;;nachfolgten;KB11,nachfolgen;DERel;
;;nachfrage;;DERelCon;
;;nachfragen;deel3;DERelCon;
;;nachfragst;KB11,nachfragen;DERel;
;;nachfragt;KB11,nachfragen;DERel;
;;nachfragte;KB11,nachfragen;DERel;
;;nachfragten;KB11;DERel;
;;nachfuhr;KB11,nachfahren;DERel;
;;nachfuhren;KB11,nachfahren;DERel;
;;nachgab;;DERel;
;;nachgaben;KB11,nachgeben;DERel;
;;nachgäbe;KB14,nachgeben;DERel;
;;nachgeahmt;KB11;DEPart;
;;nachgearbeitet;deel5;DEPart;
;;nachgebaut;DTI,nachbauen;DEPart;
;;nachgebe;KB11,nachgeben;DERel;
;;nachgeben;deel2;DEInf;
;;nachgebessert;;DEPart;
;;nachgebesserten;KB08;DEAttradj;
;;nachgebildet;KB11;DEPart;
;;nachgebt;KB11,nachgeben;DERel;
;;nachgedacht;;DEPart;
;;nachgefahren;KB11,nachfahren;DEPart;
;;nachgefolgt;KB11,nachfolgen;DEPart;
;;nachgefragt;KB11;DEPart;
;;nachgegangen;deel2;DEPart;
;;nachgegeben;deel3;DEPart;
;;nachgehalten;KB11;DEPart;
;;nachgehe;KB11,nachgehen;DERel;
;;nachgehen;deel2;DEInf;
;;nachgeholfen;DTI,nachhelfen;DEPart;
;;nachgeholt;deel3;DEPart;
;;nachgehst;KB11,nachgehen;DERel;
;;nachgeht;KB11;DERel;
;;nachgekauft;KB16;DEPart;
;;nachgekommen;deel3;DEPart;
;;nachgelagert;KB11;DEPart;
;;nachgelassen;deel3;DEPart;
;;nachgelegt;deel4;DEPart;
;;nachgelesen;KB11,nachlesen;DEPart;
;;nachgemacht;KB11,nachmachen;DEPart;
;;nachgenutzt;KB11;DEPart;
;;nachgeordnet;KB11;DEPart;
;;nachgeprüft;KB11,nachprüfen;DEPart;
;;nachgerechnet;DTI,nachrechnen;DEPart;
;;nachgereicht;deel4;DEPart;
;;nachgerüstet;deel3;DEPart;
;;nachgerufen;KB11,nachrufen;DEPart;
;;nachgesagt;deel3;DEPart;
;;nachgeschaut;KB16,nachschauen;DEPart;
;;nachgeschoben;KB11;DEPart;
;;nachgesehen;KB11,nachsehen;DEPart;
;;nachgespielt;DTI,nachspielen;DEPart;
;;nachgesprochen;DTI,nachsprechen;DEPart;
;;nachgestellt;deel4;DEPart;
;;nachgestellten;KB08;DEAttradj;
;;nachgesucht;deel5;DEPart;
;;nachgewiesen;;DEPart;
;;nachgewiesene;KB08;DEAttradj;
;;nachgewiesenem;KB14;DEAttradj;
;;nachgewirkt;DTI,nachwirken;DEPart;
;;nachgezählt;KB11,nachzählen;DEPart;
;;nachgezahlt;deel4;DEPart;
;;nachgezeichnet;KB11;DEPart;
;;nachgezogen;KB11,nachziehen;DEPart;
;;nachgibst;KB11,nachgeben;DERel;
;;nachgibt;KB11,nachgeben;DERel;
;;nachgiebig;KB08;DEPredadj;
;;nachging;KB11,nachgehen;DERel;
;;nachgingen;deel4;DERel;
;;nachhält;KB11,nachhalten;DERel;
;;nachhältst;KB11,nachhalten;DERel;
;;nachhalf;DTI,nachhelfen;DERel;
;;nachhalfen;DTI,nachhelfen;DERel;
;;nachhalte;KB11,nachhalten;DERel;
;;nachhalten;KB11,nachhalten;DEInf;
;;nachhaltet;KB11,nachhalten;DERel;
;;nachhaltig;KB08;DEPredadj;
;;nachhaltige;KB08;DEAttradj;
;;nachhaltigen;KB08;DEAttradj;
;;nachhaltiger;KB08;DEAttradj;
;;nachhaltiges;KB08;DEAttradj;
;;nachhelfe;DTI,nachhelfen;DERel;
;;nachhelfen;DTI,nachhelfen;DEInf;
;;nachhielt;KB11,nachhalten;DERel;
;;nachhielten;KB11,nachhalten;DERel;
;;nachhilft;DTI,nachhelfen;DERel;
;;nachhole;KB11,nachholen;DERel;
;;nachholen;KB11,nachholen;DEInf;
;;nachholst;KB11,nachholen;DERel;
;;nachholt;KB11,nachholen;DERel;
;;nachholte;KB11,nachholen;DERel;
;;nachholten;KB11,nachholen;DERel;
;;nachkam;KB11;DERel;
;;nachkamen;KB11,nachkommen;DERel;
;;nachkomme;deel4;DERel;
;;nachkommen;;DERelCon;
;;nachkommst;KB11,nachkommen;DERel;
;;nachkommt;deel4;DERel;
;;nachlässiger;KB08;DEAttradj;
;;nachlässt;KB11;DERel;
;;nachlagere;KB11,nachlagern;DERel;
;;nachlagern;KB11,nachlagern;DEInf;
;;nachlagerst;KB11,nachlagern;DERel;
;;nachlagert;KB11,nachlagern;DERel;
;;nachlagerte;KB11,nachlagern;DERel;
;;nachlagerten;KB11,nachlagern;DERel;
;;nachlas;KB11,nachlesen;DERel;
;;nachlasen;KB11,nachlesen;DERel;
;;nachlasse;KB11,nachlassen;DERelCon;
;;nachlassen;deel2;DEInf;
;;nachlassende;KB08;DEAttradj;
;;nachlassenden;KB08;DEAttradj;
;;nachlassender;KB08;DEAttradj;
;;nachlasst;KB11,nachlassen;DERel;
;;nachlege;KB11,nachlegen;DERel;
;;nachlegen;deel5;DEInf;
;;nachlegst;KB11,nachlegen;DERel;
;;nachlegt;KB11,nachlegen;DERel;
;;nachlegte;KB11,nachlegen;DERel;
;;nachlegten;KB11,nachlegen;DERel;
;;nachlese;deel4;DERel;
;;nachlesen;KB11;DEInf;
;;nachlest;KB11,nachlesen;DERel;
;;nachliess;KB11;DERel;
;;nachliessen;KB11,nachlassen;DERel;
;;nachliest;KB11,nachlesen;DERel;
;;nachmache;KB11,nachmachen;DERel;
;;nachmachen;KB07;DEInf;
;;nachmachst;KB11,nachmachen;DERel;
;;nachmacht;KB11,nachmachen;DERel;
;;nachmachte;KB11,nachmachen;DERel;
;;nachmachten;KB11,nachmachen;DERel;
;;nachmittags;deel3, added ConIfCap 11-12-2015-sde;DEAdv;DEAdvTime;DEConIfCap;
;;nachnominiert;deel5;DERel;
;;nachnutze;KB11,nachnutzen;DERel;
;;nachnutzen;KB11;DEInf;
;;nachnutzt;KB11,nachnutzen;DERel;
;;nachnutzte;KB11,nachnutzen;DERel;
;;nachnutzten;KB11,nachnutzen;DERel;
;;nachordne;KB11,nachordnen;DERel;
;;nachordnen;KB11;DEInf;
;;nachordnest;KB11,nachordnen;DERel;
;;nachordnet;KB11,nachordnen;DERel;
;;nachordnete;KB11,nachordnen;DERel;
;;nachordneten;KB11,nachordnen;DERel;
;;nachprüfbar;KB08;DEPredadj;
;;nachprüfbare;KB08;DEAttradj;
;;nachprüfe;KB11,nachprüfen;DERel;
;;nachprüfen;deel4;DEInf;
;;nachprüfst;KB11,nachprüfen;DERel;
;;nachprüft;KB11;DERel;
;;nachprüfte;KB11,nachprüfen;DERel;
;;nachprüften;KB11,nachprüfen;DERel;
;;nachrecherchiert;KB11;DERel;
;;nachrechne;DTI,nachrechnen;DERel;
;;nachrechnen;DTI,nachrechnen;DEInf;
;;nachrechnet;DTI,nachrechnen;DERel;
;;nachrechnete;DTI,nachrechnen;DERel;
;;nachrechneten;DTI,nachrechnen;DERel;
;;nachreiche;KB11,nachreichen;DERel;
;;nachreichen;KB11,nachreichen;DEInf;
;;nachreichst;KB11,nachreichen;DERel;
;;nachreicht;KB11,nachreichen;DERel;
;;nachreichte;KB11,nachreichen;DERel;
;;nachreichten;KB11,nachreichen;DERel;
;;nachrichtendienstliche;KB08;DEAttradj;
;;nachrichtendienstlichen;KB08;DEAttradj;
;;nachrief;KB11,nachrufen;DERel;
;;nachriefen;KB11,nachrufen;DERel;
;;nachrüste;KB11,nachrüsten;DERel;
;;nachrüsten;deel5;DEInf;
;;nachrüstest;KB11,nachrüsten;DERel;
;;nachrüstet;KB11,nachrüsten;DERel;
;;nachrüstete;KB11,nachrüsten;DERel;
;;nachrüsteten;KB11,nachrüsten;DERel;
;;nachrufe;KB11,nachrufen;DERelCon;
;;nachrufen;KB07;DEInf;
