/* Single initials
162;;E.Y.;0;uit nld
163;;E.Z.;0;uit nld
165;;F.A.;0;uit nld
166;;F.B.;0;uit nld
167;;F.C.;0;uit nld
168;;F.D.;0;uit nld
169;;F.E.;0;uit nld
170;;F.F.;0;uit nld
171;;F.G.;0;uit nld
172;;F.H.;0;uit nld
173;;F.I.;0;uit nld
174;;F.J.;0;uit nld
175;;F.K.;0;uit nld
176;;F.L.;0;uit nld
177;;F.M.;0;uit nld
178;;F.N.;0;uit nld
179;;F.O.;0;uit nld
180;;F.P.;0;uit nld
181;;F.Q.;0;uit nld
182;;F.R.;0;uit nld
183;;F.S.;0;uit nld
184;;F.T.;0;uit nld
185;;F.U.;0;uit nld
186;;F.V.;0;uit nld
187;;F.W.;0;uit nld
188;;F.X.;0;uit nld
189;;F.Y.;0;uit nld
190;;F.Z.;0;uit nld
192;;G.A.;0;uit nld
193;;G.B.;0;uit nld
194;;G.C.;0;uit nld
195;;G.D.;0;uit nld
196;;G.E.;0;uit nld
197;;G.F.;0;uit nld
198;;G.G.;0;uit nld
199;;G.H.;0;uit nld
200;;G.I.;0;uit nld
201;;G.J.;0;uit nld
202;;G.K.;0;uit nld
203;;G.L.;0;uit nld
204;;G.M.;0;uit nld
205;;G.N.;0;uit nld
206;;G.O.;0;uit nld
207;;G.P.;0;uit nld
208;;G.Q.;0;uit nld
209;;G.R.;0;uit nld
210;;G.S.;0;uit nld
211;;G.T.;0;uit nld
212;;G.U.;0;uit nld
213;;G.V.;0;uit nld
214;;G.W.;0;uit nld
215;;G.X.;0;uit nld
216;;G.Y.;0;uit nld
217;;G.Z.;0;uit nld
219;;H.A.;0;uit nld
220;;H.B.;0;uit nld
221;;H.C.;0;uit nld
222;;H.D.;0;uit nld
223;;H.E.;0;uit nld
224;;H.F.;0;uit nld
225;;H.G.;0;uit nld
226;;H.H.;0;uit nld
227;;H.I.;0;uit nld
228;;H.J.;0;uit nld
229;;H.K.;0;uit nld
230;;H.L.;0;uit nld
231;;H.M.;0;uit nld
232;;H.N.;0;uit nld
233;;H.O.;0;uit nld
234;;H.P.;0;uit nld
235;;H.Q.;0;uit nld
236;;H.R.;0;uit nld
237;;H.S.;0;uit nld
238;;H.T.;0;uit nld
239;;H.U.;0;uit nld
240;;H.V.;0;uit nld
241;;H.W.;0;uit nld
242;;H.X.;0;uit nld
243;;H.Y.;0;uit nld
244;;H.Z.;0;uit nld
246;;I.A.;0;uit nld
247;;I.B.;0;uit nld
248;;I.C.;0;uit nld
249;;I.D.;0;uit nld
250;;I.E.;0;uit nld
251;;I.F.;0;uit nld
252;;I.G.;0;uit nld
253;;I.H.;0;uit nld
